su_id,std_dem,avg_plan_c,std_plan_c,avg_prof_c,std_prof_c,dis2river,land cover,dis2faults,avg_slope,std_slope,lithology,medi_aspec
79,91.04705811,28.26333427,15.08631229,7.084762096,4.183811665,1877.578281,3,28656.02638,30.39387131,0,4,147.5288086
80,112.5362778,30.11827087,18.35364532,7.035766602,4.653869629,1061.121031,3,5131.468464,18.34065247,6.873064518,4,90.71826172
81,237.3141632,40.61722183,29.21971893,9.694842339,6.272309303,4292.745516,3,31204.26213,32.45392227,10.33576965,4,41.58484268
82,305.0558167,27.81975365,19.5546093,9.089362144,5.582078934,1008.865503,1,30791.94655,34.5565033,7.491809368,4,84.83459473
83,108.0363007,25.07785797,14.87220573,8.026303291,4.855256557,2384.536779,3,6422.971799,2.904096842,1.758535385,4,171.8699036
84,199.1573334,29.95281601,22.77504539,8.822288513,6.219925404,3910.432637,3,31527.84992,30.07084465,9.296579361,4,42.05355072
85,224.7584839,33.6084671,27.55167198,9.447179794,6.105820656,127.1694912,1,31867.34178,35.57154083,6.983015537,4,333.9354858
86,109.5849838,22.85611153,17.16804886,9.333200455,5.281703949,1394.522685,3,29770.55139,8.68099308,3.349163055,4,248.9624939
87,20.71170235,47.26740646,25.28835106,6.947467327,4.182708263,304.7934367,3,3797.611814,15.97583008,5.283969879,2,111.1398239
88,101.7665329,29.56690216,21.18101501,13.20006561,8.048876762,193.4617047,1,34561.71033,29.0715065,6.14761734,4,283.8406982
89,79.62722778,27.21192169,16.36432076,5.125796795,3.135604382,3879.985891,3,7920.821128,17.40218544,4.241493225,5,69.93427277
90,74.97216034,33.43922806,22.38192177,9.323833466,5.52879858,2728.765104,3,3941.307646,20.63475418,7.071737289,4,71.56504822
91,94.58184814,39.90515518,26.34502602,9.82694149,6.302763939,2678.830946,3,3973.805176,20.29678345,9.297553062,4,287.6881409
92,81.52155304,34.32253265,21.36791611,10.90771961,6.705739021,2181.331071,3,4473.250795,26.34523582,9.061626434,4,77.23927307
93,78.90570068,33.00707626,20.57692337,10.0324955,5.438946247,1611.572779,3,5044.413731,24.13159943,9.085377693,4,274.3445129
94,22.70328712,59.4430275,21.44627953,11.15341187,7.578658104,2268.914301,3,15941.59816,19.32099915,0,2,326.5138245
95,173.0715332,27.42867661,22.78557587,8.411327362,5.07029295,1429.139916,3,16103.30197,28.26083374,9.125898361,2,44.04515839
96,184.117157,24.67195892,18.38061905,8.44943428,5.329836369,3940.239865,3,31435.40595,33.78282928,7.969290257,4,45.67942429
97,176.3882141,30.7462635,21.69283676,9.918733597,6.310320377,3537.173398,3,31866.37422,26.95192337,9.59920311,4,271.9480896
98,134.1207275,32.54543686,17.93344688,13.27522373,7.666372299,5415.456294,1,26508.10256,23.55355072,8.795225143,4,265.6800232
